race,sex,age,priors_count,c_charge_degree,two_year_recid
African-American,Male,34,6,F,1
African-American,Male,26,0,M,1
African-American,Male,20,0,F,1
African-American,Male,25,6,M,0
Caucasian,Male,19,0,M,1
Caucasian,Male,49,1,F,1
African-American,Male,57,27,M,0
African-American,Female,27,0,M,0
Caucasian,Male,66,1,M,0
African-American,Female,25,4,M,1
Caucasian,Male,21,0,F,0
Caucasian,Male,45,1,F,0
African-American,Male,38,6,F,1
African-American,Male,37,24,F,0
Caucasian,Male,44,13,F,1
African-American,Male,64,0,F,0
African-American,Male,30,1,F,1
African-American,Male,61,1,M,0
Caucasian,Male,33,0,F,0
Caucasian,Female,49,8,F,0
African-American,Male,23,0,F,0
African-American,Male,33,14,F,0
Caucasian,Male,21,0,F,1
Caucasian,Female,30,2,F,1
Hispanic,Male,26,7,M,0
Other,Male,35,3,M,1
African-American,Male,27,2,M,0
Caucasian,Male,38,1,M,0
African-American,Male,48,14,F,1
Caucasian,Male,26,0,M,0
African-American,Male,24,4,F,1
African-American,Female,28,2,F,1
Caucasian,Female,44,4,F,1
Caucasian,Male,23,2,F,0
Caucasian,Female,34,1,F,1
Caucasian,Male,20,1,F,1
Other,Male,63,23,F,1
African-American,Female,36,0,M,0
Caucasian,Male,58,1,F,0
African-American,Male,25,7,F,1
Caucasian,Male,46,5,M,0
Caucasian,Female,35,4,F,0
African-American,Male,23,3,F,0
Caucasian,Male,40,1,F,0
Hispanic,Male,31,3,F,0
Hispanic,Female,34,5,F,0
African-American,Male,23,3,M,1
Caucasian,Male,27,0,M,1
African-American,Female,26,3,F,0
African-American,Male,49,1,F,0
Hispanic,Female,47,0,M,0
Native American,Female,45,1,M,0
African-American,Male,47,6,F,0
African-American,Male,34,7,F,1
Hispanic,Male,45,1,M,0
African-American,Male,27,10,F,0
Caucasian,Female,52,0,M,0
African-American,Male,26,0,M,1
African-American,Male,25,9,F,0
African-American,Male,51,1,F,0
African-American,Female,29,1,M,0
African-American,Male,39,1,F,0
Caucasian,Male,46,0,F,0
Caucasian,Male,28,6,F,0
African-American,Male,57,0,F,0
Hispanic,Male,23,2,F,0
African-American,Male,34,27,F,1
African-American,Male,27,3,F,0
African-American,Male,25,7,M,1
Caucasian,Male,31,1,F,1
African-American,Male,37,8,F,0
African-American,Male,51,0,F,1
Hispanic,Male,51,3,M,0
African-American,Male,28,8,F,0
Caucasian,Male,56,4,F,0
African-American,Male,45,15,F,1
Caucasian,Male,26,7,F,1
Caucasian,Male,33,7,F,1
Caucasian,Male,23,0,M,0
African-American,Male,31,0,M,0
Other,Male,31,0,M,0
Hispanic,Male,19,1,F,0
Caucasian,Male,32,0,F,0
Caucasian,Male,30,1,M,1
Hispanic,Female,48,9,F,0
Caucasian,Male,66,1,F,0
African-American,Female,40,0,F,0
African-American,Male,59,4,M,0
African-American,Male,25,5,F,0
African-American,Male,27,3,M,0
African-American,Male,22,0,F,0
Caucasian,Male,58,1,F,0
African-American,Male,49,1,M,0
Caucasian,Male,29,2,F,0
Caucasian,Female,44,11,F,1
African-American,Male,24,2,F,0
African-American,Male,27,0,F,1
African-American,Female,34,5,F,1
Caucasian,Male,24,0,F,0
Caucasian,Female,35,3,F,0
Caucasian,Male,65,4,M,0
African-American,Male,29,7,F,1
African-American,Male,30,5,F,1
African-American,Male,23,1,F,0
Caucasian,Male,32,2,F,1
Caucasian,Male,22,2,F,0
African-American,Male,21,0,M,0
Caucasian,Female,43,0,M,0
African-American,Male,29,0,F,0
African-American,Male,43,1,F,0
African-American,Male,25,1,F,0
Caucasian,Male,47,0,M,0
African-American,Female,21,0,F,0
African-American,Female,25,1,M,0
Caucasian,Male,54,0,M,0
African-American,Male,34,3,F,1
African-American,Female,28,2,M,0
Caucasian,Female,53,4,F,1
African-American,Male,54,0,M,0
Hispanic,Male,37,3,F,1
African-American,Male,34,2,F,0
Hispanic,Male,50,11,M,0
Caucasian,Female,60,0,F,1
African-American,Male,22,0,F,0
African-American,Male,51,3,F,0
African-American,Male,29,0,F,1
African-American,Female,28,1,F,0
Caucasian,Male,36,6,F,0
African-American,Male,28,5,M,0
Caucasian,Male,33,0,F,1
Caucasian,Male,43,4,M,0
Hispanic,Male,45,1,M,0
Caucasian,Male,32,5,F,1
African-American,Female,35,0,F,1
African-American,Male,23,1,F,1
Hispanic,Male,41,1,M,0
Other,Male,25,24,F,1
Hispanic,Male,35,12,F,0
African-American,Male,25,4,F,1
Caucasian,Male,69,6,F,1
Asian,Male,24,0,M,0
African-American,Male,21,3,F,1
Hispanic,Male,28,0,F,0
African-American,Male,47,23,F,1
Other,Male,59,1,F,0
African-American,Male,29,13,F,1
Caucasian,Male,36,14,F,1
African-American,Male,26,9,F,1
Other,Male,31,0,M,0
African-American,Male,32,8,F,1
Caucasian,Female,27,3,F,1
Caucasian,Male,28,0,F,0
Caucasian,Male,48,1,M,1
Caucasian,Male,23,2,F,1
Caucasian,Male,44,0,M,0
African-American,Male,42,7,M,0
African-American,Male,39,5,F,0
Hispanic,Female,46,2,F,0
Caucasian,Male,55,0,M,0
African-American,Male,27,5,F,1
Caucasian,Female,31,0,M,0
African-American,Male,25,0,F,0
Caucasian,Male,32,6,M,0
African-American,Male,36,2,F,0
African-American,Male,21,3,F,1
Caucasian,Male,39,2,M,0
African-American,Female,26,0,M,0
African-American,Male,28,8,F,1
Caucasian,Male,67,2,M,1
Other,Female,22,0,F,0
Caucasian,Male,37,3,M,0
African-American,Male,23,2,M,1
African-American,Female,49,14,M,1
Caucasian,Male,32,9,M,1
Caucasian,Male,41,9,M,0
African-American,Male,25,1,M,0
Caucasian,Female,57,3,F,0
Caucasian,Male,58,0,M,0
African-American,Male,44,19,M,1
African-American,Male,28,1,F,0
African-American,Female,39,0,F,1
Caucasian,Male,54,0,F,0
Hispanic,Male,21,0,M,1
Caucasian,Male,43,0,M,0
African-American,Male,31,5,M,0
African-American,Male,30,11,F,0
Caucasian,Male,27,4,M,1
African-American,Male,28,0,M,1
African-American,Male,24,0,M,0
Caucasian,Male,43,0,M,0
African-American,Male,44,10,M,1
African-American,Male,51,4,F,0
Hispanic,Male,24,11,F,1
African-American,Male,31,1,F,0
African-American,Male,23,0,F,0
African-American,Male,26,8,M,1
Caucasian,Male,36,5,M,1
Caucasian,Male,27,1,F,0
African-American,Male,24,0,F,1
Caucasian,Male,66,0,M,0
Caucasian,Female,36,3,F,0
Hispanic,Male,53,9,F,1
Caucasian,Male,23,1,F,1
African-American,Female,22,0,M,1
Hispanic,Male,25,1,F,0
African-American,Male,56,4,F,0
Native American,Male,29,1,F,0
Caucasian,Male,29,10,F,1
Asian,Male,51,1,F,1
African-American,Female,58,3,M,0
Caucasian,Male,24,3,M,0
African-American,Male,22,0,F,1
Caucasian,Male,39,0,M,0
Hispanic,Male,20,3,F,1
Caucasian,Male,46,10,F,1
Caucasian,Male,38,1,F,1
Caucasian,Male,23,0,M,1
Other,Male,39,6,F,0
African-American,Male,25,0,F,0
African-American,Male,31,19,F,1
African-American,Female,25,1,M,1
African-American,Male,26,6,F,0
African-American,Male,25,2,F,0
Caucasian,Male,37,11,F,1
African-American,Male,36,0,F,0
African-American,Male,26,1,F,1
Other,Male,21,3,F,1
African-American,Male,35,7,F,1
African-American,Male,22,2,F,1
Caucasian,Male,25,0,F,0
Caucasian,Male,24,0,M,0
Hispanic,Male,36,0,M,0
African-American,Male,24,2,M,1
African-American,Male,21,0,F,1
Caucasian,Male,32,15,F,1
African-American,Male,33,2,M,1
African-American,Male,33,10,F,1
African-American,Female,23,4,M,1
Caucasian,Male,29,0,M,0
Caucasian,Male,50,8,F,0
Caucasian,Male,32,5,F,1
African-American,Male,33,14,F,1
African-American,Male,37,13,F,1
African-American,Male,27,9,F,1
African-American,Male,27,0,M,0
African-American,Female,52,21,F,1
Hispanic,Male,21,1,M,1
African-American,Male,58,1,F,0
African-American,Male,27,4,F,0
African-American,Male,28,5,F,1
Caucasian,Male,28,1,F,1
Caucasian,Female,31,0,M,0
Caucasian,Male,30,11,F,1
African-American,Male,24,3,M,0
African-American,Male,26,6,F,1
Caucasian,Male,43,0,M,0
African-American,Male,31,2,F,1
African-American,Male,22,3,F,1
African-American,Male,23,0,F,0
Caucasian,Male,42,0,M,0
African-American,Male,34,0,M,1
African-American,Male,30,18,M,0
African-American,Male,29,1,F,0
Caucasian,Male,38,2,F,1
Caucasian,Male,26,3,M,0
Hispanic,Female,25,4,F,1
African-American,Male,51,5,M,0
Other,Male,36,0,M,0
Hispanic,Male,62,0,M,0
African-American,Male,23,0,F,1
African-American,Male,34,7,F,1
African-American,Male,35,1,M,0
Caucasian,Male,22,0,F,0
African-American,Male,29,10,M,1
African-American,Male,40,0,F,0
African-American,Male,36,2,F,0
African-American,Male,26,8,F,1
African-American,Male,25,1,F,1
Caucasian,Male,69,0,M,0
African-American,Male,27,1,F,0
Caucasian,Male,20,0,F,1
African-American,Male,27,1,F,0
African-American,Female,24,6,M,0
Caucasian,Male,42,0,F,0
Caucasian,Male,25,1,F,0
Caucasian,Male,46,1,F,1
African-American,Male,25,0,F,0
African-American,Male,22,0,F,0
Caucasian,Male,21,0,F,0
African-American,Male,30,1,M,0
Caucasian,Male,46,9,M,0
African-American,Male,26,2,M,0
African-American,Male,33,0,F,1
African-American,Male,40,1,M,0
Caucasian,Male,34,0,F,0
Caucasian,Male,22,1,F,1
Hispanic,Male,28,3,M,0
African-American,Male,31,4,M,1
Caucasian,Male,59,3,M,1
Native American,Male,37,0,F,0
African-American,Male,50,0,F,0
Other,Female,21,2,F,1
African-American,Male,57,8,F,1
African-American,Male,31,5,M,0
African-American,Female,51,1,M,0
African-American,Male,44,9,F,0
African-American,Male,48,5,F,1
Caucasian,Female,25,0,F,0
African-American,Male,51,5,M,0
Caucasian,Male,50,0,F,1
Caucasian,Male,57,2,F,0
Caucasian,Male,55,0,M,0
African-American,Male,59,4,F,1
African-American,Female,42,0,F,0
Hispanic,Male,20,2,F,1
African-American,Male,58,16,F,0
Other,Male,21,0,F,0
African-American,Male,32,21,F,1
Hispanic,Female,24,0,M,0
African-American,Male,42,1,F,0
African-American,Male,29,8,F,1
African-American,Male,21,1,F,0
Caucasian,Male,31,1,M,1
Hispanic,Male,56,8,M,0
Caucasian,Male,58,0,M,0
African-American,Male,22,1,F,1
Caucasian,Male,46,1,M,1
Caucasian,Male,50,0,M,1
African-American,Male,46,2,F,0
African-American,Female,44,11,F,1
African-American,Male,35,4,M,0
African-American,Male,30,14,F,1
African-American,Male,42,2,F,0
African-American,Male,46,5,F,1
African-American,Male,42,0,F,1
African-American,Male,37,12,F,0
Caucasian,Male,29,7,F,1
African-American,Male,32,8,F,0
Other,Male,31,5,F,0
African-American,Female,33,1,M,0
Caucasian,Male,25,4,F,0
African-American,Female,33,0,M,0
Hispanic,Male,21,1,F,0
Caucasian,Female,64,7,M,0
Caucasian,Male,35,1,F,1
African-American,Male,56,1,F,0
Caucasian,Male,38,0,M,1
African-American,Female,40,4,M,0
African-American,Male,34,3,F,0
African-American,Male,28,4,F,0
African-American,Male,51,0,M,0
African-American,Male,35,2,M,0
African-American,Male,61,5,F,0
African-American,Male,25,0,F,0
African-American,Male,25,4,F,1
African-American,Male,26,0,M,0
Caucasian,Male,42,1,M,0
African-American,Female,25,1,F,0
African-American,Male,26,13,M,1
African-American,Male,31,9,F,0
Caucasian,Male,35,1,F,0
African-American,Female,41,4,F,1
Caucasian,Male,34,0,F,0
Caucasian,Male,46,5,M,0
Caucasian,Female,33,1,M,0
African-American,Male,30,3,F,0
African-American,Female,50,7,M,0
African-American,Male,21,0,F,0
Hispanic,Male,31,16,F,1
African-American,Male,31,2,F,1
African-American,Female,23,0,M,0
African-American,Male,25,1,F,0
Caucasian,Female,24,1,F,0
African-American,Male,31,13,M,1
African-American,Male,60,0,F,0
African-American,Male,30,2,F,0
Other,Female,32,0,M,0
Caucasian,Male,46,0,M,0
Caucasian,Male,21,0,M,1
African-American,Male,28,6,M,0
African-American,Male,35,0,F,0
Hispanic,Male,34,2,F,1
Asian,Male,41,2,F,1
African-American,Female,40,7,M,0
African-American,Male,23,1,F,1
African-American,Male,23,3,F,1
African-American,Male,28,2,M,0
Hispanic,Male,21,0,F,1
Caucasian,Male,46,2,M,0
African-American,Male,56,1,F,0
African-American,Male,41,19,F,0
Hispanic,Male,40,8,F,1
Hispanic,Male,30,5,F,1
African-American,Male,24,1,M,1
African-American,Male,25,7,F,0
Caucasian,Female,33,0,M,0
Caucasian,Male,48,2,M,0
African-American,Male,33,11,F,1
Hispanic,Male,25,0,F,0
Caucasian,Male,25,6,F,1
African-American,Male,58,38,F,1
African-American,Male,30,7,F,1
Hispanic,Male,37,0,F,1
Caucasian,Female,43,7,F,0
Caucasian,Male,32,0,F,0
Other,Male,33,3,F,0
Other,Male,39,4,F,1
Caucasian,Male,49,4,F,0
Caucasian,Male,24,0,F,0
African-American,Male,26,1,F,0
Caucasian,Male,42,0,F,0
African-American,Male,22,1,F,1
Hispanic,Male,36,0,F,0
Caucasian,Male,29,7,M,1
Caucasian,Male,39,0,M,0
African-American,Male,27,13,F,1
Caucasian,Male,38,2,F,1
Caucasian,Male,20,0,F,1
African-American,Male,25,4,F,1
Caucasian,Male,53,0,M,0
African-American,Female,27,0,M,1
Other,Male,21,0,F,1
Caucasian,Male,50,1,M,1
African-American,Male,41,4,F,0
African-American,Male,34,4,F,1
Caucasian,Male,22,5,F,1
Caucasian,Male,22,0,F,1
African-American,Male,25,2,F,0
African-American,Male,42,1,F,1
Caucasian,Female,27,2,F,0
Other,Male,51,2,F,0
African-American,Male,33,23,F,1
African-American,Male,24,0,F,0
African-American,Male,37,4,F,0
Caucasian,Male,37,0,M,0
Other,Female,27,0,M,0
Other,Male,21,0,F,0
African-American,Male,35,1,F,1
Caucasian,Female,24,0,F,0
Other,Male,21,1,F,0
Caucasian,Male,49,2,M,0
African-American,Male,38,9,F,0
Other,Male,61,0,M,0
African-American,Female,30,0,M,0
African-American,Male,22,3,F,0
African-American,Male,25,0,F,1
Hispanic,Female,30,3,M,1
Caucasian,Male,52,0,M,0
Caucasian,Male,26,0,F,0
Other,Male,26,0,M,0
African-American,Male,29,6,F,0
Caucasian,Male,45,9,F,1
African-American,Male,20,0,F,1
African-American,Male,29,4,F,0
Caucasian,Male,43,1,F,1
Caucasian,Male,26,2,F,0
African-American,Female,46,4,F,0
African-American,Female,46,0,F,0
Caucasian,Male,39,8,F,0
African-American,Male,29,12,F,1
Caucasian,Male,41,0,M,0
African-American,Male,29,11,F,1
African-American,Female,25,5,F,0
African-American,Male,23,2,F,0
African-American,Female,46,1,F,1
Caucasian,Male,30,0,M,0
Caucasian,Male,34,1,F,0
Caucasian,Male,70,11,F,1
Caucasian,Male,52,2,F,0
African-American,Male,51,4,M,0
Native American,Female,45,15,F,1
African-American,Male,55,21,F,1
Caucasian,Female,49,1,F,0
African-American,Female,26,9,M,1
Caucasian,Female,47,0,F,0
African-American,Male,27,0,M,0
Caucasian,Male,25,5,M,1
African-American,Male,21,1,F,1
African-American,Male,37,26,F,1
African-American,Male,21,1,F,1
African-American,Male,21,0,F,0
African-American,Male,25,4,F,1
African-American,Female,27,3,F,1
Caucasian,Male,30,3,F,1
Caucasian,Male,70,0,M,0
Caucasian,Male,37,11,F,1
African-American,Male,46,5,F,1
Other,Male,40,4,M,1
African-American,Male,20,1,F,1
African-American,Male,43,18,F,1
African-American,Male,38,15,F,0
African-American,Male,29,0,F,0
African-American,Male,37,8,M,1
Hispanic,Male,38,3,F,0
Caucasian,Female,27,0,F,0
Other,Female,20,0,M,1
Hispanic,Male,44,0,M,0
Caucasian,Male,31,6,M,0
African-American,Male,29,3,F,1
Caucasian,Male,48,13,F,1
African-American,Female,30,0,M,0
Caucasian,Female,25,2,F,1
African-American,Male,40,3,F,0
Caucasian,Female,49,3,F,0
Caucasian,Male,33,1,M,0
Caucasian,Male,26,5,F,1
Hispanic,Male,31,1,M,0
Caucasian,Male,61,1,M,0
Caucasian,Male,30,2,F,0
Caucasian,Male,62,0,M,0
Caucasian,Female,27,4,M,1
Caucasian,Male,48,9,F,0
Caucasian,Female,40,0,F,0
Caucasian,Male,24,0,F,0
African-American,Male,22,0,F,1
African-American,Male,30,4,M,1
Caucasian,Male,63,0,M,0
Hispanic,Male,46,0,M,0
African-American,Male,33,4,F,0
African-American,Female,21,1,F,1
Caucasian,Male,43,0,M,1
African-American,Male,26,3,F,1
African-American,Male,51,1,F,0
Caucasian,Male,39,3,F,1
Hispanic,Female,30,0,M,1
African-American,Male,32,14,F,1
African-American,Male,22,0,M,0
Caucasian,Male,59,0,F,0
African-American,Male,38,37,M,1
African-American,Male,23,2,F,0
African-American,Male,42,0,M,1
African-American,Male,20,1,F,1
African-American,Male,38,2,F,1
Caucasian,Female,34,2,F,0
African-American,Female,36,7,F,1
Caucasian,Male,35,7,F,1
African-American,Male,36,0,M,1
African-American,Male,31,1,F,0
African-American,Female,28,3,F,1
African-American,Male,28,1,F,1
Caucasian,Male,60,3,F,0
African-American,Male,43,0,F,0
African-American,Male,40,1,F,0
African-American,Male,31,15,F,1
African-American,Male,54,6,F,1
African-American,Male,26,1,F,0
African-American,Male,24,17,F,1
Hispanic,Male,41,0,F,1
African-American,Male,21,1,F,1
Hispanic,Female,29,1,F,1
African-American,Male,22,0,F,0
Hispanic,Male,52,9,F,1
Other,Female,40,0,F,0
Caucasian,Female,37,0,F,0
Other,Male,21,1,F,0
African-American,Female,45,1,F,0
African-American,Male,29,1,M,1
African-American,Male,46,10,F,1
Caucasian,Male,21,1,F,0
African-American,Male,50,7,M,0
Caucasian,Male,35,6,F,1
African-American,Male,52,1,M,1
Caucasian,Male,48,0,M,0
African-American,Female,29,9,M,1
Caucasian,Male,48,0,M,0
African-American,Male,31,10,F,1
Caucasian,Male,21,3,F,1
Other,Male,32,0,F,1
African-American,Male,47,0,M,0
African-American,Male,62,1,M,0
African-American,Male,21,3,F,1
African-American,Male,35,13,F,0
African-American,Male,46,3,M,1
African-American,Male,34,5,F,1
African-American,Male,52,2,F,0
African-American,Female,39,7,F,0
Caucasian,Male,21,0,M,1
Caucasian,Male,53,1,M,0
Caucasian,Female,19,0,F,1
African-American,Male,22,0,M,0
African-American,Male,45,1,F,0
Caucasian,Female,27,0,F,0
Caucasian,Male,25,0,M,0
Caucasian,Male,30,0,F,1
African-American,Male,31,2,F,1
Caucasian,Male,28,3,F,0
African-American,Male,36,3,M,1
African-American,Male,27,7,F,1
African-American,Male,42,1,F,0
Caucasian,Male,35,0,F,1
Caucasian,Female,33,2,F,0
Hispanic,Male,24,6,F,1
African-American,Male,25,21,F,1
Caucasian,Female,42,0,M,0
African-American,Male,21,0,F,1
African-American,Female,28,0,M,0
African-American,Male,27,25,F,1
Caucasian,Female,21,0,F,0
Caucasian,Male,26,0,M,1
Caucasian,Male,36,0,F,0
African-American,Male,23,1,M,1
Caucasian,Male,49,0,F,1
African-American,Male,29,11,F,1
Caucasian,Male,44,0,F,1
Caucasian,Male,28,1,M,0
African-American,Male,27,2,M,1
African-American,Female,35,12,F,1
African-American,Male,36,19,M,1
Caucasian,Male,46,2,M,0
African-American,Male,34,3,F,0
African-American,Male,45,15,F,1
African-American,Male,28,9,F,1
African-American,Female,25,1,F,0
African-American,Male,21,1,M,0
African-American,Male,48,1,F,0
Caucasian,Male,37,1,M,0
African-American,Male,24,3,F,1
Caucasian,Male,37,1,M,1
Caucasian,Male,39,1,F,0
Caucasian,Male,24,1,F,1
Other,Male,49,2,F,0
African-American,Male,35,3,F,1
African-American,Male,23,1,F,1
Caucasian,Male,36,4,F,1
Caucasian,Male,43,5,F,0
African-American,Male,28,6,M,1
African-American,Female,21,4,F,1
African-American,Male,53,1,M,0
African-American,Female,27,2,M,1
Caucasian,Male,39,0,M,0
African-American,Male,47,22,F,1
African-American,Male,28,4,F,1
Caucasian,Male,49,7,F,0
Caucasian,Male,36,2,F,0
African-American,Female,24,1,F,0
Hispanic,Male,35,0,M,0
African-American,Male,23,3,F,0
African-American,Male,26,2,F,0
African-American,Male,31,7,F,1
African-American,Female,30,14,F,1
Caucasian,Male,25,2,M,0
African-American,Male,24,6,F,1
Hispanic,Male,34,1,F,1
African-American,Male,26,2,M,0
African-American,Male,26,7,M,0
Hispanic,Male,60,0,F,0
African-American,Female,20,0,F,0
Caucasian,Male,36,10,M,1
Caucasian,Male,23,0,F,0
African-American,Male,26,5,F,1
Caucasian,Male,40,4,M,0
Other,Male,28,1,F,1
Hispanic,Male,49,1,F,1
African-American,Male,46,8,F,1
African-American,Male,19,1,F,1
Caucasian,Male,53,1,F,0
Caucasian,Male,56,5,F,0
African-American,Female,24,0,F,0
Hispanic,Male,31,0,F,0
Caucasian,Female,33,2,F,0
Caucasian,Male,26,8,F,1
Caucasian,Male,56,1,M,0
Caucasian,Male,32,2,F,0
Caucasian,Male,25,0,F,1
African-American,Male,21,1,F,0
African-American,Male,38,3,F,0
Caucasian,Male,23,0,F,0
African-American,Male,67,4,M,0
Caucasian,Male,20,0,F,1
Caucasian,Female,39,4,F,1
African-American,Male,24,1,F,1
Hispanic,Male,23,0,F,0
African-American,Male,49,3,F,0
African-American,Male,31,7,F,1
African-American,Male,20,1,F,1
Caucasian,Male,28,0,M,0
Caucasian,Male,67,3,F,0
Hispanic,Male,33,0,F,0
Hispanic,Male,20,1,F,1
Caucasian,Male,40,4,F,0
African-American,Male,52,0,F,0
African-American,Male,45,17,F,1
African-American,Male,27,8,F,1
Caucasian,Male,22,1,F,0
Caucasian,Male,36,9,F,0
Caucasian,Male,40,0,M,1
Caucasian,Male,30,1,M,1
African-American,Male,42,1,F,0
African-American,Male,24,2,F,1
Caucasian,Male,46,4,F,0
African-American,Male,38,4,F,0
Hispanic,Male,39,2,F,1
Hispanic,Female,32,0,M,1
Caucasian,Male,26,0,M,0
Caucasian,Male,54,1,M,1
Hispanic,Male,27,2,F,0
Caucasian,Male,61,1,F,0
African-American,Male,51,1,M,1
Caucasian,Male,57,0,F,0
Caucasian,Male,24,3,M,1
African-American,Male,34,1,F,0
Hispanic,Male,27,1,F,0
African-American,Female,28,10,M,1
African-American,Male,35,10,M,1
African-American,Male,30,6,F,1
Other,Male,53,1,F,0
African-American,Male,44,0,F,0
Caucasian,Male,57,3,M,1
Caucasian,Male,61,10,F,0
African-American,Male,26,1,F,1
African-American,Male,48,10,F,1
African-American,Male,42,4,M,0
Caucasian,Male,38,10,F,1
African-American,Male,39,4,F,0
Caucasian,Female,53,0,M,0
African-American,Male,26,3,M,0
African-American,Male,22,1,F,1
Caucasian,Male,50,0,F,0
Caucasian,Male,44,16,M,0
African-American,Male,24,4,F,1
African-American,Male,21,0,F,1
Caucasian,Male,50,0,F,0
Caucasian,Female,36,0,M,0
Caucasian,Male,39,0,F,0
African-American,Female,24,2,F,0
African-American,Female,54,7,F,0
African-American,Male,29,0,M,0
Caucasian,Male,26,0,M,0
African-American,Male,41,3,F,1
African-American,Male,23,1,F,1
Caucasian,Male,34,0,M,0
Caucasian,Male,31,11,F,1
African-American,Male,20,0,F,0
African-American,Male,49,10,F,1
African-American,Male,26,4,F,1
African-American,Male,28,1,F,1
African-American,Male,26,0,F,0
African-American,Male,55,1,F,0
African-American,Male,22,0,M,0
African-American,Female,26,0,M,0
Other,Male,56,0,M,0
Caucasian,Male,66,1,F,0
Other,Male,46,2,F,0
African-American,Male,58,16,F,1
African-American,Male,28,4,F,0
African-American,Male,33,8,F,0
African-American,Female,31,0,M,0
African-American,Male,26,1,M,0
African-American,Male,35,4,M,0
Caucasian,Female,41,12,F,1
Caucasian,Male,34,0,M,0
Other,Male,33,0,F,0
African-American,Female,32,0,F,0
African-American,Male,37,9,F,1
African-American,Male,50,1,F,0
Caucasian,Male,35,1,F,0
Caucasian,Female,47,0,M,1
African-American,Female,52,8,F,0
African-American,Male,26,5,F,1
African-American,Male,36,1,M,1
African-American,Male,45,13,F,1
Other,Male,19,0,M,1
African-American,Male,41,8,F,1
African-American,Male,24,0,M,0
African-American,Male,21,1,F,0
Caucasian,Male,54,0,M,0
Caucasian,Male,49,0,F,0
Caucasian,Male,42,1,F,0
African-American,Male,21,1,F,1
African-American,Male,61,30,F,0
Caucasian,Male,46,5,F,1
Caucasian,Male,74,0,M,0
Hispanic,Female,38,0,F,0
Caucasian,Male,75,2,M,0
African-American,Female,39,1,F,0
African-American,Female,38,0,F,0
African-American,Male,19,1,F,1
Caucasian,Male,28,0,F,1
African-American,Male,53,2,F,0
African-American,Male,25,1,F,1
Caucasian,Male,53,1,M,0
African-American,Male,53,4,F,0
African-American,Male,23,2,F,0
Caucasian,Male,55,33,F,1
Caucasian,Female,64,1,F,0
African-American,Male,23,1,M,1
Hispanic,Male,38,1,M,0
African-American,Male,23,4,F,1
Hispanic,Female,41,0,F,0
Other,Male,53,0,M,0
African-American,Male,34,0,F,0
Hispanic,Male,24,0,F,1
African-American,Male,26,1,M,0
Caucasian,Male,44,4,F,0
Caucasian,Female,27,0,F,0
Caucasian,Male,28,14,F,0
Caucasian,Male,55,1,M,0
African-American,Female,22,2,F,0
African-American,Male,36,15,F,0
African-American,Male,29,6,F,1
African-American,Male,23,1,F,0
African-American,Male,56,1,M,0
Caucasian,Male,27,2,F,1
Caucasian,Male,37,1,M,0
African-American,Male,32,1,F,1
African-American,Male,41,18,M,1
African-American,Male,22,1,F,1
Caucasian,Male,37,1,F,1
African-American,Male,45,3,M,0
African-American,Female,31,14,F,0
African-American,Male,42,7,F,1
African-American,Male,26,20,F,1
Caucasian,Male,33,0,F,1
Caucasian,Male,22,0,M,1
Caucasian,Male,32,2,F,1
African-American,Female,36,1,M,0
Caucasian,Male,54,0,M,0
African-American,Male,25,5,F,1
Caucasian,Male,24,3,F,1
Hispanic,Male,23,0,M,0
Caucasian,Male,61,0,M,0
Caucasian,Female,42,0,M,0
Caucasian,Male,28,1,M,1
African-American,Male,27,1,M,0
Caucasian,Male,24,2,M,0
African-American,Male,33,14,F,0
African-American,Male,32,16,F,1
Caucasian,Male,38,0,F,0
Caucasian,Male,21,1,M,0
African-American,Male,27,1,F,1
Caucasian,Male,39,0,F,0
Caucasian,Male,29,0,F,0
Caucasian,Male,29,1,F,0
Caucasian,Male,65,6,F,0
Caucasian,Male,36,1,F,1
African-American,Male,46,0,F,1
African-American,Male,44,7,F,0
African-American,Male,27,0,M,0
African-American,Male,27,8,F,1
Caucasian,Male,61,0,M,0
African-American,Male,47,0,M,1
African-American,Male,27,1,M,0
Caucasian,Male,28,0,F,1
Caucasian,Female,31,1,M,1
Caucasian,Male,26,9,M,1
African-American,Male,53,2,F,1
African-American,Male,26,1,F,1
African-American,Male,25,2,F,0
Other,Male,23,5,M,1
African-American,Female,21,4,M,1
African-American,Male,23,1,M,0
Other,Male,30,3,M,0
African-American,Female,45,2,F,0
African-American,Male,27,2,M,1
African-American,Male,57,6,M,1
Caucasian,Male,44,8,F,1
African-American,Female,26,0,M,0
Caucasian,Male,21,0,F,1
African-American,Male,63,1,F,0
Caucasian,Female,62,0,M,0
Caucasian,Male,48,0,F,0
African-American,Male,53,1,M,0
African-American,Male,62,3,M,1
African-American,Male,28,5,F,0
Caucasian,Male,56,1,F,0
Hispanic,Male,35,2,F,0
Hispanic,Female,56,2,M,1
African-American,Male,22,2,F,1
African-American,Male,26,5,F,1
African-American,Male,35,4,M,0
African-American,Male,22,1,F,1
Caucasian,Male,60,3,M,0
African-American,Female,37,7,F,0
African-American,Female,32,0,F,0
African-American,Female,33,3,F,1
Other,Male,38,2,F,1
Caucasian,Male,53,0,M,0
Caucasian,Male,32,0,M,0
Caucasian,Male,26,0,M,0
Caucasian,Male,61,0,M,0
African-American,Male,21,0,M,0
African-American,Male,69,22,M,0
African-American,Male,26,0,M,0
African-American,Male,30,9,F,1
